Quantidade de Complexos por Número de Salas 2007 a 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Quantidade de Salas por Complexo;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009*;2008;2007
1;70;177;169;166;177;182;219;220;228;242;241;244;378;365
2;74;128;122;120;117;115;112;115;117;117;123;121;160;160
3;76;89;86;80;68;63;64;61;62;61;58;60;69;63
4;74;112;97;88;85;77;75;72;62;57;52;48;47;48
5;61;108;102;104;101;92;83;75;69;60;54;49;45;39
6;55;92;92;86;85;80;69;63;56;52;43;37;30;26
7;17;44;43;46;46;43;39;33;31;28;23;21;21;19
8;16;42;39;39;41;40;40;38;33;31;31;31;28;25
9;11;20;20;18;15;14;13;12;12;9;8;8;8;8
10;6;22;21;17;17;17;17;15;14;14;14;13;16;16
11;2;7;7;7;8;8;5;7;7;6;6;6;5;5
12;2;6;6;6;6;6;5;5;5;4;4;4;4;4
13;1;2;2;2;1;1;2;2;2;2;2;2;2;2
14;0;0;0;0;1;1;0;0;0;0;0;0;0;0
15;0;2;2;2;2;2;2;2;2;2;2;2;2;2
18;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Total;466;852;809;782;771;742;746;721;701;686;662;647;816;783
;;;;;;;;;;;;;;
* A partir de 2009, deixaram de ser consideradas as salas de cinema pornográfico, de exibição videofonográfica e com exibições esporádicas. Foram mantidas apenas as salas comerciais com exibições regulares e programação composta de longas-metragens, com cobrança de ingresso e sessões de caráter público.;;;;;;;;;;;;;;
Fontes: Sistema de Registro – ANCINE, Sistema de Acompanhamento da Distribuição em Salas de Exibição (SADIS), Sistema de Controle de Bilheteria (SCB), Filme B e outras fontes secundárias.;;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG/ANCINE. Publicado em 11/03/2022.;;;;;;;;;;;;;;
